Client__c,Operation__c,RelationshipKey__c,Type__c,Errors
0012200000VBjL0AAL,a0X2200000153XCEAY,CH0147|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jp:--
0012200000VBjL0AAL,a0X2200000153YTEAY,CH-L1008|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jq:--
0012200000VBjL0AAL,a0X2200000153XEEAY,CH0151|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jr:--
0012200000VBjL0AAL,a0X2200000153XwEAI,CH-L1002|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5js:--
0012200000VBjL0AAL,a0X2200000153WoEAI,CH0032|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jt:--
0012200000VBjL0AAL,a0X2200000153XTEAY,CH0114|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ju:--
0012200000VBjL0AAL,a0X2200000153XsEAI,CH0176|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jv:--
0012200000VBjL0AAL,a0X2200000153YNEAY,CH-L1047|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jw:--
0012200000VBjL0AAL,a0X2200000153YzEAI,CH-L1055|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jx:--
0012200000VBjL0AAL,a0X2200000153XIEAY,CH0004|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jy:--
0012200000VBjL0AAL,a0X2200000153XQEAY,CH0079|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jz:--
0012200000VBjL0AAL,a0X2200000153XAEAY,CH0131|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5k0:--
0012200000VBjL0AAL,a0X2200000153XXEAY,CH0153|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5k1:--
0012200000VBjL0AAL,a0X2200000153XVEAY,CH0115|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5k2:--
0012200000VBjL0AAL,a0X2200000153XGEAY,CH0015|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5k3:--
0012200000VBjL0AAL,a0X2200000153WTEAY,CH-L1142|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5k4:--
